top10_model_rank,top10_model,points_model_rank,points_model,season,known_race_count,remaining_race_count,driver_points_mae,constructor_points_mae,combined_points_mae,driver_champion_actual,driver_champion_predicted,driver_champion_hit,constructor_champion_actual,constructor_champion_predicted,constructor_champion_hit,driver_top3_overlap,constructor_top3_overlap,deterministic_driver_winner_count,max_driver_winner_share,winner_distribution,avg_winner_runner_up_score_gap,calibration_train_end_season,calibration_season
2,lightgbm_classifier,5,xgboost_regressor,2024,5,19,51.833333,124.600000,88.216667,Max Verstappen,Max Verstappen,1,McLaren,Red Bull,0,2,3,1,1.000000,{'Max Verstappen': 19},0.058037,2022,2023
2,lightgbm_classifier,5,xgboost_regressor,2025,5,19,38.857143,70.000000,54.428571,Lando Norris,Oscar Piastri,0,McLaren,McLaren,1,3,2,2,0.631579,"{'Lando Norris': 7, 'Oscar Piastri': 12}",0.054776,2023,2024
3,hist_gradient_boosting,1,mlp_regressor,2022,5,17,24.909091,44.000000,34.454545,Max Verstappen,Max Verstappen,1,Red Bull,Red Bull,1,3,3,1,1.000000,{'Max Verstappen': 17},0.040495,2020,2021
3,hist_gradient_boosting,1,mlp_regressor,2023,5,17,30.636364,66.200000,48.418182,Max Verstappen,Max Verstappen,1,Red Bull,Red Bull,1,3,3,1,1.000000,{'Max Verstappen': 17},0.048370,2021,2022
3,hist_gradient_boosting,1,mlp_regressor,2024,5,19,44.833333,106.400000,75.616667,Max Verstappen,Max Verstappen,1,McLaren,Red Bull,0,2,3,1,1.000000,{'Max Verstappen': 19},0.060429,2022,2023
3,hist_gradient_boosting,1,mlp_regressor,2025,5,19,42.666667,85.600000,64.133333,Lando Norris,Oscar Piastri,0,McLaren,McLaren,1,3,2,2,0.947368,"{'Max Verstappen': 1, 'Oscar Piastri': 18}",0.058959,2023,2024
3,hist_gradient_boosting,2,ridge_regression,2022,5,17,24.636364,42.400000,33.518182,Max Verstappen,Max Verstappen,1,Red Bull,Red Bull,1,3,3,1,1.000000,{'Max Verstappen': 17},0.040495,2020,2021
3,hist_gradient_boosting,2,ridge_regression,2023,5,17,36.181818,79.600000,57.890909,Max Verstappen,Max Verstappen,1,Red Bull,Red Bull,1,3,2,1,1.000000,{'Max Verstappen': 17},0.041815,2021,2022
3,hist_gradient_boosting,2,ridge_regression,2024,5,19,45.833333,109.200000,77.516667,Max Verstappen,Max Verstappen,1,McLaren,Red Bull,0,2,2,1,1.000000,{'Max Verstappen': 19},0.057604,2022,2023
3,hist_gradient_boosting,2,ridge_regression,2025,5,19,39.428571,75.200000,57.314286,Lando Norris,Oscar Piastri,0,McLaren,McLaren,1,3,2,1,1.000000,{'Oscar Piastri': 19},0.038781,2023,2024
