season,round,race_name,feature_mode,model,predicted_winner,actual_winner,winner_hit,predicted_winner_prob_win,runner_up_by_prob_win,winner_runner_up_prob_gap,predicted_winner_expected_points
2025,4,Bahrain Grand Prix,pre_race,hist_gradient_boosting_classifier,Max Verstappen,Oscar Piastri,0,0.394316,Lando Norris,0.302797,16.522188
2025,5,Saudi Arabian Grand Prix,pre_race,hist_gradient_boosting_classifier,Oscar Piastri,Oscar Piastri,1,0.201173,Max Verstappen,0.119707,16.672315
2025,6,Miami Grand Prix,pre_race,hist_gradient_boosting_classifier,George Russell,Oscar Piastri,0,0.205120,Oscar Piastri,0.041373,11.557100
2025,7,Emilia Romagna Grand Prix,pre_race,hist_gradient_boosting_classifier,Oscar Piastri,Max Verstappen,0,0.258889,Max Verstappen,0.177796,15.607695
2025,8,Monaco Grand Prix,pre_race,hist_gradient_boosting_classifier,Oscar Piastri,Lando Norris,0,0.220875,Lando Norris,0.089086,11.352508
2025,9,Spanish Grand Prix,pre_race,hist_gradient_boosting_classifier,Max Verstappen,Oscar Piastri,0,0.167110,Oscar Piastri,0.094221,11.275661
2025,10,Canadian Grand Prix,pre_race,hist_gradient_boosting_classifier,Lando Norris,George Russell,0,0.153282,Oscar Piastri,0.029320,13.883327
2025,11,Austrian Grand Prix,pre_race,hist_gradient_boosting_classifier,Oscar Piastri,Lando Norris,0,0.073731,Lando Norris,0.016414,11.565978
2025,12,British Grand Prix,pre_race,hist_gradient_boosting_classifier,Charles Leclerc,Lando Norris,0,0.281634,Lando Norris,0.111586,14.038058
2025,13,Belgian Grand Prix,pre_race,hist_gradient_boosting_classifier,Lando Norris,Oscar Piastri,0,0.382567,Oscar Piastri,0.087257,17.186554
2025,14,Hungarian Grand Prix,pre_race,hist_gradient_boosting_classifier,Lando Norris,Lando Norris,1,0.515872,Oscar Piastri,0.065545,17.891832
2025,15,Dutch Grand Prix,pre_race,hist_gradient_boosting_classifier,Lando Norris,Oscar Piastri,0,0.442648,Oscar Piastri,0.238130,17.712367
2025,16,Italian Grand Prix,pre_race,hist_gradient_boosting_classifier,Oscar Piastri,Max Verstappen,0,0.692684,Lando Norris,0.265400,21.090448
2025,17,Azerbaijan Grand Prix,pre_race,hist_gradient_boosting_classifier,Lando Norris,Max Verstappen,0,0.523641,Oscar Piastri,0.036873,18.378688
2025,18,Singapore Grand Prix,pre_race,hist_gradient_boosting_classifier,Oscar Piastri,George Russell,0,0.422700,Lando Norris,0.080762,14.927202
2025,19,United States Grand Prix,pre_race,hist_gradient_boosting_classifier,Lando Norris,Max Verstappen,0,0.494131,George Russell,0.356146,17.836458
2025,20,Mexico City Grand Prix,pre_race,hist_gradient_boosting_classifier,Max Verstappen,Lando Norris,0,0.553000,Oscar Piastri,0.347651,18.766085
2025,21,São Paulo Grand Prix,pre_race,hist_gradient_boosting_classifier,Max Verstappen,Lando Norris,0,0.237991,Lando Norris,0.051957,12.056861
2025,22,Las Vegas Grand Prix,pre_race,hist_gradient_boosting_classifier,Lando Norris,Max Verstappen,0,0.415816,Max Verstappen,0.280836,17.079000
2025,23,Qatar Grand Prix,pre_race,hist_gradient_boosting_classifier,Lando Norris,Max Verstappen,0,0.431405,Max Verstappen,0.062244,16.296923
2025,24,Abu Dhabi Grand Prix,pre_race,hist_gradient_boosting_classifier,Max Verstappen,Max Verstappen,1,0.542286,George Russell,0.330207,17.697325
